Date,Emotion
2023-06-13 01:12:00,0
2023-06-12 18:12:00,1
2023-06-12 11:08:00,1
2023-06-12 10:11:00,1
2023-06-12 09:36:00,1
2023-06-12 09:31:00,1
2023-06-12 17:04:00,0
2023-06-12 16:34:00,1
2023-06-12 15:41:00,2
2023-06-12 11:16:00,1
2023-06-12 09:48:00,2
2023-06-12 08:42:00,1
2023-06-12 08:33:00,1
2023-06-12 08:28:00,1
2023-06-12 08:26:00,1
2023-06-12 08:23:00,2
2023-06-12 08:07:00,2
2023-06-12 08:06:00,2
2023-06-12 08:04:00,1
2023-06-12 11:10:00,1
2023-06-12 09:34:00,1
2023-06-12 08:49:00,1
2023-06-12 09:56:00,1
2023-06-12 09:19:00,1
2023-06-12 08:57:00,1
2023-06-12 08:50:00,1
2023-06-12 06:02:00,2
2023-06-12 06:01:00,1
2023-06-11 18:08:00,0
2023-06-09 17:16:00,1
2023-06-09 16:35:00,1
2023-06-09 15:59:00,0
2023-06-09 10:17:00,1
2023-06-09 10:06:00,1
2023-06-09 09:36:00,0
2023-06-09 09:27:00,0
2023-06-09 09:21:00,1
2023-06-09 11:32:00,0
2023-06-09 10:13:00,0
2023-06-09 09:47:00,0
2023-06-09 09:46:00,0
2023-06-09 10:31:00,0
2023-06-09 08:38:00,1
2023-06-09 08:21:00,1
2023-06-09 08:10:00,1
2023-06-09 07:50:00,1
2023-06-09 08:19:00,1
2023-06-09 07:45:00,1
2023-06-08 18:52:00,2
2023-06-08 17:48:00,1
2023-06-08 15:43:00,1
2023-06-08 09:49:00,1
2023-06-08 09:44:00,1
2023-06-08 09:32:00,1
2023-06-08 09:20:00,1
2023-06-08 17:40:00,2
2023-06-08 15:11:00,2
2023-06-08 17:25:00,1
2023-06-08 11:52:00,1
2023-06-08 15:52:00,0
2023-06-08 15:44:00,1
2023-06-08 14:45:00,1
2023-06-08 10:59:00,1
2023-06-08 09:43:00,1
2023-06-08 09:15:00,1
2023-06-08 11:36:00,1
2023-06-08 11:36:00,1
2023-06-08 11:13:00,1
2023-06-08 10:27:00,1
2023-06-08 08:42:00,1
2023-06-08 10:06:00,0
2023-06-08 10:01:00,1
2023-06-08 09:56:00,1
2023-06-08 09:37:00,1
2023-06-08 09:34:00,1
2023-06-08 09:20:00,1
2023-06-08 09:42:00,1
2023-06-07 17:43:00,2
2023-06-07 17:34:00,2
2023-06-07 16:43:00,0
2023-06-07 15:57:00,2
2023-06-07 09:19:00,2
2023-06-07 08:20:00,1
2023-06-05 19:23:00,1
2023-06-05 15:16:00,1
2023-06-05 11:26:00,1
2023-06-05 08:48:00,1
2023-06-05 08:40:00,1
2023-06-05 08:29:00,1
2023-06-05 08:11:00,1
2023-06-05 08:07:00,1
2023-06-05 07:59:00,1
2023-06-05 18:33:00,2
2023-06-05 18:19:00,0
2023-06-05 18:05:00,0
2023-06-05 16:57:00,1
2023-06-05 16:51:00,2
2023-06-05 10:41:00,1
2023-06-05 16:04:00,0
2023-06-05 15:47:00,0
2023-06-05 15:46:00,1
2023-06-05 11:35:00,1
2023-06-05 11:01:00,1
2023-06-05 10:30:00,1
2023-06-05 10:26:00,1
2023-06-05 10:05:00,1
2023-06-05 15:45:00,1
2023-06-05 10:29:00,1
2023-06-05 10:18:00,1
2023-06-05 10:00:00,1
2023-06-05 09:43:00,1
2023-06-05 09:43:00,1
2023-06-05 10:11:00,1
2023-06-05 09:33:00,1
2023-06-05 08:34:00,1
2023-06-05 09:22:00,0
2023-06-05 07:55:00,1
2023-06-04 09:34:00,2
2023-06-04 08:30:00,0
2023-06-02 18:08:00,0
2023-06-02 15:14:00,2
2023-06-02 12:04:00,1
2023-06-02 09:48:00,1
2023-06-02 09:30:00,1
2023-06-02 09:26:00,1
2023-06-02 09:15:00,1
2023-06-02 09:18:00,1
2023-06-02 09:16:00,1
2023-06-02 06:02:00,0
2023-06-02 05:20:00,2
2023-06-01 17:58:00,2
2023-06-01 17:39:00,2
2023-06-01 17:29:00,2
2023-06-01 16:42:00,2
2023-06-01 16:33:00,2
2023-06-01 15:47:00,2
2023-06-01 15:59:00,0
2023-06-01 14:50:00,0
