Date,Emotion
2023-06-12 18:02:00,1
2023-06-12 10:13:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-12 10:00:00,0
2023-06-11 18:37:00,0
2023-06-11 18:27:00,0
2023-06-11 17:56:00,0
2023-06-11 17:29:00,0
2023-06-11 17:25:00,0
2023-06-11 17:22:00,0
2023-06-11 16:51:00,0
2023-06-11 16:43:00,0
2023-06-11 16:42:00,0
2023-06-11 16:23:00,0
2023-06-11 16:17:00,0
2023-06-11 16:08:00,0
2023-06-11 16:03:00,0
2023-06-10 07:10:00,0
2023-06-10 06:33:00,1
2023-06-10 06:01:00,0
2023-06-09 17:54:00,1
2023-06-09 09:02:00,1
2023-06-09 06:16:00,0
2023-06-08 18:27:00,0
2023-06-08 16:42:00,1
2023-06-08 11:46:00,1
2023-06-08 10:50:00,0
2023-06-08 10:01:00,1
2023-06-08 10:00:00,0
2023-06-08 07:11:00,0
2023-06-07 18:23:00,1
2023-06-07 17:25:00,1
2023-06-07 16:17:00,1
2023-06-07 16:07:00,0
2023-06-07 10:27:00,0
2023-06-07 15:09:00,1
2023-06-07 10:01:00,1
2023-06-05 18:23:00,0
2023-06-04 10:01:00,0
2023-06-04 10:01:00,0
2023-06-02 17:59:00,2
2023-06-02 08:48:00,1
2023-06-02 08:46:00,1
2023-06-02 08:35:00,1
2023-06-02 08:34:00,1
2023-06-02 08:27:00,1
2023-06-02 08:05:00,1
2023-06-01 10:09:00,0
2023-06-01 10:01:00,0
2023-06-01 07:01:00,1
2023-06-01 06:01:00,0
2023-05-31 11:05:00,0
2023-05-31 10:00:00,1
2023-05-31 10:00:00,1
2023-05-31 10:00:00,1
2023-05-31 10:00:00,1
2023-05-31 09:42:00,0
2023-05-31 08:56:00,1
2023-05-31 08:42:00,1
2023-05-30 16:41:00,0
2023-05-30 13:47:00,0
2023-05-30 11:01:00,0
2023-05-30 13:15:00,0
2023-05-30 11:00:00,0
2023-05-30 11:00:00,1
2023-05-30 11:00:00,1
2023-05-29 17:39:00,0
2023-05-29 16:26:00,0
2023-05-29 15:02:00,0
2023-05-29 10:58:00,1
2023-05-28 19:20:00,0
2023-05-28 19:16:00,0
2023-05-28 14:55:00,0
2023-05-28 14:03:00,0
2023-05-28 10:03:00,0
2023-05-28 10:01:00,0
2023-05-28 10:00:00,0
2023-05-28 10:00:00,0
2023-05-28 10:01:00,0
2023-05-27 13:01:00,0
2023-05-27 09:48:00,1
2023-05-27 04:05:00,0
2023-05-26 14:55:00,0
2023-05-26 12:14:00,0
2023-05-26 11:14:00,1
2023-05-26 10:02:00,0
2023-05-26 10:59:00,1
2023-05-25 18:10:00,0
2023-05-25 17:25:00,0
2023-05-25 15:51:00,0
2023-05-25 13:58:00,1
2023-05-25 11:49:00,0
2023-05-25 10:31:00,0
2023-05-25 11:01:00,0
2023-05-25 10:41:00,0
2023-05-25 10:31:00,0
2023-05-24 11:01:00,1
2023-05-24 11:00:00,1
2023-05-24 11:00:00,1
2023-05-24 11:00:00,1
2023-05-24 11:00:00,1
2023-05-24 11:00:00,1
2023-05-24 11:00:00,0
2023-05-24 11:00:00,1
2023-05-24 11:00:00,1
2023-05-24 10:33:00,1
2023-05-24 10:01:00,1
2023-05-24 10:00:00,1
2023-05-24 10:00:00,1
2023-05-24 10:00:00,1
2023-05-24 06:21:00,1
2023-05-23 18:59:00,0
2023-05-23 18:58:00,0
2023-05-23 17:50:00,1
2023-05-23 15:18:00,0
