날짜,기사제목
 2023.06.05 09:26,"기아, BMW 출신 디자이너 영입…미래차 디자인 맡긴다"
 2023.06.05 08:54,"기아, ‘BMW·벤틀리 출신’ 외장 디자이너 영입"
 2023.06.05 08:50,"기아, 디자인외장실장에 'BMW·벤틀리 출신' 존 버킹햄 영입"
 2023.06.05 08:50,"기아, 글로벌 판매량·시장 점유율↑…장기적 접근 추천-상상인"
 2023.06.04 13:56,테슬라 모델3도 美보조금 100%..현대차·기아는 자력 버티기
 2023.06.04 10:01,“르·지·케이가 너무 약하니···” 현대차·기아 국산차 점유율 91%
 2023.06.03 08:01,현대차는 ‘세단’·기아는 ‘SUV’…1~5월 완성차 효자는?
 2023.06.02 23:22,"""도둑보다 회사에 강경""…美서 현대차·기아 상대 절도소송 비판"
 2023.06.02 15:33,"거침없는 기아, 5월 美판매도 23% 껑충"
 2023.06.02 14:32,"IRA 보조금 못 받아도…현대차·기아, 美 전기차 판매 '역대 최대'"
 2023.06.02 12:09,미국서 잘 나가는 현대차·기아의 전기차
 2023.06.02 11:13,'거침없는 형제들' 현대차·기아 5월 美판매 20% 늘었다
 2023.06.02 11:00,"""친환경차 역대 최대""…현대차·기아, 7개월 연속 美 판매 두자릿수↑"
 2023.06.02 10:16,"현대차·기아, 美판매 10개월 연속 증가…IRA 뚫고 전기차 선전(종..."
 2023.06.02 14:08,"기아, 5일 기업설명회 개최"
 2023.06.02 08:54,"""현대차·기아 실적 견조할 것…우려는 주가에 선반영돼""-NH"
 2023.06.02 08:27,"친환경차 ‘훈풍’…현대차·기아, 5월 美 판매 전년 대비 두자릿수 ‘껑..."
 2023.06.02 05:58,"현대차·기아, 5월 美판매 작년 대비 두자릿수 증가…EV6 7%↑"
 2023.06.02 07:01,"현대차·기아, 국내 전기차 판매 감소"
 2023.06.02 06:02,유럽 시장 흔드는 현대차?기아의 전기차
 2023.06.02 05:38,유럽서 전기차로 질주하는 현대차·기아…中 비야디 진출에 '전운'
 2023.06.01 17:33,"현대차·기아, 5월 61만7787대 판매…10.6%↑ '순항'"
 2023.06.01 16:37,기아 5월 판매 26만8천대…전년 동월 대비 14.4%↑
