날짜,기사제목
 2023.06.08 12:55,"카카오엔터프라이즈, 신규 멀티AZ 리전 공개…""고성능 클라우드 시장 ..."
 2023.06.08 14:21,[특징주] 美 금리 인상 우려에 네이버·카카오 약세
 2023.06.08 09:50,[특징주] BOC 깜짝 금리 인상 여파…네이버·카카오 갭하락
 2023.06.08 09:43,[특징주]美 금리인상 우려에 네이버·카카오 약세
 2023.06.08 09:43,美 금리인상 우려 재차 부각…네이버·카카오 동반 약세
 2023.06.08 09:32,"카카오엔터, 웹툰 ‘갓 오브 블랙필드’ 시즌3 공개"
 2023.06.08 09:25,"카카오엔터, 웹툰 '갓 오브 블랙필드' 시즌3 공개"
 2023.06.08 09:19,"'강찬'이 돌아온다…카카오엔터, '갓 오브 블랙필드' 시즌 3 연재 ..."
 2023.06.08 08:25,"""뉴스 댓글에서 실시간 소통""…카카오, 다음 뉴스 서비스에 '타임톡' ..."
 2023.06.08 08:14,"카카오, 다음 뉴스서 실시간 채팅 서비스 '타임톡' 시범 출시"
 2023.06.08 06:02,‘ESG’ 외치는 네이버·카카오… ‘공랭식’ 데이터센터 쓰는데 전기 소...
 2023.06.07 18:02,"카카오, 12일 해외 기관투자자 대상 기업설명회 개최"
 2023.06.07 13:51,"카카오, 공동체 AI 기술 및 정책 소개 매거진 발간"
 2023.06.07 11:58,"카카오, 다음 뉴스 배열 알고리즘 공개 ""특정 언론사 더 자주 노출 ..."
 2023.06.07 11:05,"카카오, 인공지능 기술·정책 소개 웹매거진 첫 발간"
 2023.06.07 10:41,"다음뉴스 배열 공개한 카카오…""편집권 강화로 다양성 73% 증가"""
 2023.06.07 10:25,"카카오, AI 기술·정책 소개 매거진 ‘테크 에틱’ 발간"
 2023.06.07 10:11,"카카오, 매거진 ‘Tech Ethics’ 발간…카카오 공동체 AI 기..."
 2023.06.07 10:10,"AI 알고리듬 투명하게 공개…카카오, ‘Tech Ethics’ 발간"
 2023.06.07 09:57,"카카오, 기술윤리 매거진 'Tech Ethics' 첫 발간…다음뉴스 ..."
 2023.06.07 10:40,"공정위, 카카오T 등 택시 플랫폼업계 직권조사…불공정 약관 확인"
 2023.06.06 21:49,“경쟁력 낮은 카카오 사업 정리”···‘엔터프라이즈’ 다음은 어디
 2023.06.06 17:52,카카오 빼고는 적자…모빌리티 버티기 통할까
 2023.06.05 18:19,카카오와 줄인 탄소량… 작년 소나무 40만그루 수준
 2023.06.05 18:10,"카카오 ""전기택시 타고 메일함 비우세요"""
 2023.06.05 14:50,"“전기택시 타고 메일함 자주 비우세요”…카카오, 친환경 소비자에 ‘보..."
 2023.06.05 14:26,지표로 보는 카카오의 ‘친환경 활동’…카본 인덱스 개발
 2023.06.05 13:57,"카카오가 지난해 감축한 탄소량, '소나무 40만 그루' 효과 맞먹어"
 2023.06.05 11:21,“작년 소나무 40만그루 수준 기여” 카카오 이용자 친환경 지표 공개
 2023.06.05 09:38,"카카오, 세계 환경의 날에 '이용자 환경 기여' 지표 공개"
 2023.06.05 17:39,"중국 알리바바는 빼고, 토종 네이버 카카오만?..공정위 역차별 규제 논..."
 2023.06.05 12:16,치솟는 구글 점유율에 흔들리는 네이버·카카오
 2023.06.05 11:14,"카카오, 환경의날 맞아 '카카오 카본 인덱스' 수치 첫 공개"
 2023.06.05 10:37,"카카오, 이용자 환경 기여 지표 '카카오 카본 인덱스' 공개"
 2023.06.05 10:24,"카카오, 이용자 환경 기여 지표 ‘카본 인덱스’ 공개"
 2023.06.05 10:00,"""카카오T 바이크로 온실가스 얼마나 감축했을까?""…이용자 환경 기여 ..."
 2023.06.05 09:40,"카카오 ""지난해 소나무 40만그루 수준 환경 기여"""
 2023.06.05 09:31,"카카오, 이용자 환경 기여 지표 공개…""지난해 소나무 40만 그루 수..."
 2023.06.05 09:26,"""전기 택시로 나무 한 그루 심었군요""…카카오, 이용자 환경지표 공개"
 2023.06.05 04:49,핫한 주제로 대화하고 실검 역할도?…카카오 '오픈채팅 lite' 본격 ...
 2023.06.04 14:52,"“아이유 있는데, 어떻게 이런일이?” 충격의 적자 사태…늪에 빠진 카카..."
 2023.06.04 06:00,"""중소상공인 매출확대 도와드립니다""...상생나선 네이버-카카오"
 2023.06.03 13:32,"""AI 그림 싫어요"" 반발에‥네이버·카카오는 고심 중"
 2023.06.03 13:24,“6월 삼성전자·카카오 뜬다”...반도체·인터넷 업종 강세 전망
 2023.06.03 11:04,"카카오, ESG보고서에 데이터센터 화재 대응 담아"
 2023.06.02 17:42,"카카오 비즈니스 스튜디오, 소상공인 교육 콘텐츠 제작"
 2023.06.02 14:21,"카카오, 소상공인 세미나 위한 전용 스튜디오 문 연다"
 2023.06.02 10:37,"[게시판] 카카오, 소상공인 교육 프로그램 제작 공간 마련"
 2023.06.02 16:22,"카카오뱅크 ‘26주적금 with 카카오웹툰’, 출시 하루만에 10만좌 ..."
 2023.06.02 14:24,"카카오뱅크 '26주적금 with 카카오웹툰', 하루만에 10만좌"
 2023.06.02 13:54,카뱅 '카카오웹툰 26주 적금' 출시 하루 만에 10만좌 돌파
 2023.06.02 13:45,카뱅 '26주적금 with 카카오웹툰' 하루 만에 10만좌 돌파
 2023.06.02 13:32,"카카오뱅크, ‘26주 적금 with 카카오웹툰’ 출시 하루만에 10만..."
 2023.06.02 11:41,"카카오뱅크, 카카오웹툰 26주 적금 10만좌 돌파"
 2023.06.02 15:54,"[데이터로 보는 증시]카카오·삼성전자, 기관·외국인 코스피 순매수 1위..."
 2023.06.02 14:32,"카카오, 소상공인 파트너 대상 ‘교육 콘텐츠’ 질 높인다"
 2023.06.02 14:05,판교에 중소 파트너 위한 ‘카카오비즈니스 스튜디오’ 오픈
 2023.06.02 10:59,"카카오, 소상공인 위한 '카카오 비즈니스 세미나' 스튜디오 개설"
 2023.06.02 09:48,"카카오, 중소 비즈니스 파트너 위한 ‘비즈니스 스튜디오’ 오픈"
 2023.06.02 09:45,"카카오, 소상공인 사업 교육 세미나 제작 스튜디오 개설"
 2023.06.02 09:37,"카카오, 소상공인 위한 교육 프로그램 제작 공간 열어"
 2023.06.02 09:17,"카카오, 중소 비즈니스 파트너 위한 ‘카카오비즈니스 스튜디오’ 오픈"
 2023.06.02 06:42,"""손으로 그린 웹툰만 볼래요""…네이버-카카오웹툰, AI 반감에 당혹"
 2023.06.01 18:44,"카카오뱅크, ‘26주적금 with 카카오웹툰’ 출시…“저축하며 웹툰 본..."
 2023.06.01 17:12,"""웹툰 감상과 저축 즐거움 동시에"" 카카오웹툰X뱅크 적금 론칭"
 2023.06.01 13:37,"카카오엔터, 카카오뱅크와 ‘26주적금 with 카카오웹툰’ 출시"
 2023.06.01 11:20,"""적금하면 웹툰캐시 증정"" 카카오엔터x카카오뱅크 상품"
 2023.06.01 10:41,카카오뱅크 26주 적금 넣고 카카오웹툰 캐시 혜택까지
 2023.06.01 10:28,"카카오뱅크, '26주 적금 with 카카오웹툰' 출시"
 2023.06.01 10:27,"카카오뱅크, '26주적금 with 카카오웹툰' 출시…""저축하며 웹툰 ..."
 2023.06.01 18:02,네이버·카카오 인물정보에 '장례지도사' 등 5개 직업 추가
